,Data,Goldman Sachs Japonia (K),Goldman Sachs Zrównoważony (A),Goldman Sachs Stabilny Globalnej Dywersyfikacji (A),Goldman Sachs Konserwatywny (A),Goldman Sachs Japonia Suma,Goldman Sachs Japonia Krocząca Średnia [2d],Goldman Sachs Japonia Krocząca Średnia [5d],Goldman Sachs Japonia Krocząca Średnia [10d],Goldman Sachs Japonia Krocząca Średnia [30d],Goldman Sachs Japonia Krocząca Średnia [60d],Goldman Sachs Japonia Krocząca Średnia [120d],Goldman Sachs Japonia Krocząca Średnia [360d],Goldman Sachs Japonia Pierwsza pochodna,Goldman Sachs Japonia Druga pochodna,Goldman Sachs Zrównoważony Suma,Goldman Sachs Zrównoważony Krocząca Średnia [2d],Goldman Sachs Zrównoważony Krocząca Średnia [5d],Goldman Sachs Zrównoważony Krocząca Średnia [10d],Goldman Sachs Zrównoważony Krocząca Średnia [30d],Goldman Sachs Zrównoważony Krocząca Średnia [60d],Goldman Sachs Zrównoważony Krocząca Średnia [120d],Goldman Sachs Zrównoważony Krocząca Średnia [360d],Goldman Sachs Zrównoważony Pierwsza pochodna,Goldman Sachs Zrównoważony Druga pochodna,Goldman Sachs Stabilny Globalnej Dywersyfikacji Suma,Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [2d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [5d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [10d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [30d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [60d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [120d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [360d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Pierwsza pochodna,Goldman Sachs Stabilny Globalnej Dywersyfikacji Druga pochodna,Goldman Sachs Konserwatywny Suma,Goldman Sachs Konserwatywny Krocząca Średnia [2d],Goldman Sachs Konserwatywny Krocząca Średnia [5d],Goldman Sachs Konserwatywny Krocząca Średnia [10d],Goldman Sachs Konserwatywny Krocząca Średnia [30d],Goldman Sachs Konserwatywny Krocząca Średnia [60d],Goldman Sachs Konserwatywny Krocząca Średnia [120d],Goldman Sachs Konserwatywny Krocząca Średnia [360d],Goldman Sachs Konserwatywny Pierwsza pochodna,Goldman Sachs Konserwatywny Druga pochodna
21,2014-04-24,142.93,284.88,101.24,251.36,3148.14,143.32999999999998,142.964,141.225,,,,,-0.799999999999983,-2.2499999999999716,6264.520000000001,285.075,284.652,285.302,,,,,-0.38999999999998636,-0.13999999999998636,2215.5599999999995,101.22999999999999,101.12,100.75,,,,,0.01999999999999602,0.10999999999999943,5522.32,251.34,251.238,251.18200000000002,,,,,0.040000000000020464,-0.03999999999996362
22,2014-04-25,143.9,283.78,101.04,251.36,3292.04,143.41500000000002,143.098,141.533,,,,,0.9699999999999989,1.7699999999999818,6548.300000000001,284.33,284.846,285.025,,,,,-1.1000000000000227,-0.7100000000000364,2316.5999999999995,101.14,101.14200000000001,100.768,,,,,-0.19999999999998863,-0.21999999999998465,5773.679999999999,251.36,251.28400000000002,251.20999999999998,,,,,0.0,-0.040000000000020464
23,2014-04-28,142.98,284.29,101.03,251.42,3435.02,143.44,143.16400000000002,141.851,,,,,-0.9200000000000159,-1.8900000000000148,6832.590000000001,284.03499999999997,284.748,284.73699999999997,,,,,0.5100000000000477,1.6100000000000705,2417.6299999999997,101.035,101.168,100.826,,,,,-0.010000000000005116,0.18999999999998352,6025.099999999999,251.39,251.34,251.238,,,,,0.05999999999997385,0.05999999999997385
24,2014-04-29,142.98,285.22,101.44,251.42,3578.0,142.98,143.304,142.26100000000002,,,,,0.0,0.9200000000000159,7117.810000000001,284.755,284.688,284.596,,,,,0.9300000000000068,0.4199999999999591,2519.0699999999997,101.235,101.19399999999999,100.974,,,,,0.4099999999999966,0.4200000000000017,6276.5199999999995,251.42,251.37600000000003,251.26799999999997,,,,,0.0,-0.05999999999997385
25,2014-04-30,143.15,286.1,101.48,251.47,3721.15,143.065,143.18800000000002,142.7,,,,,0.17000000000001592,0.17000000000001592,7403.910000000002,285.66,284.854,284.638,,,,,0.8799999999999955,-0.05000000000001137,2620.5499999999997,101.46000000000001,101.24600000000001,101.094,,,,,0.04000000000000625,-0.36999999999999034,6527.99,251.445,251.406,251.29899999999998,,,,,0.05000000000001137,0.05000000000001137
26,2014-05-02,145.7,286.18,101.75,251.51,3866.85,144.425,143.742,143.353,,,,,2.549999999999983,2.379999999999967,7690.090000000002,286.14,285.114,284.883,,,,,0.07999999999998408,-0.8000000000000114,2722.2999999999997,101.61500000000001,101.348,101.234,,,,,0.269999999999996,0.22999999999998977,6779.5,251.49,251.43599999999998,251.337,,,,,0.03999999999999204,-0.010000000000019327
27,2014-05-05,145.69,285.07,101.77,251.53,4012.54,145.695,144.1,143.599,,,,,-0.009999999999990905,-2.559999999999974,7975.160000000002,285.625,285.372,285.109,,,,,-1.1100000000000136,-1.1899999999999977,2824.0699999999997,101.75999999999999,101.494,101.31800000000001,,,,,0.01999999999999602,-0.25,7031.03,251.51999999999998,251.46999999999997,251.377,,,,,0.020000000000010232,-0.01999999999998181
28,2014-05-06,145.68,283.98,101.48,251.55,4158.22,145.685,144.64,143.902,,,,,-0.009999999999990905,0.0,8259.140000000001,284.525,285.31000000000006,285.029,,,,,-1.089999999999975,0.020000000000038654,2925.5499999999997,101.625,101.584,101.376,,,,,-0.28999999999999204,-0.30999999999998806,7282.58,251.54000000000002,251.496,251.41799999999998,,,,,0.020000000000010232,0.0
29,2014-05-07,141.73,283.28,101.35,251.56,4299.95,143.70499999999998,144.39000000000001,143.84699999999998,143.33166666666665,,,,-3.950000000000017,-3.940000000000026,8542.420000000002,283.63,284.922,284.805,284.74733333333336,,,,-0.7000000000000455,0.3899999999999295,3026.8999999999996,101.41499999999999,101.566,101.38,100.89666666666668,,,,-0.13000000000000966,0.15999999999998238,7534.14,251.555,251.52400000000003,251.45,251.138,,,,0.009999999999990905,-0.010000000000019327
30,2014-05-08,142.49,284.1,101.66,251.71,4442.44,142.11,144.25799999999998,143.723,143.40366666666665,,,,0.7600000000000193,4.710000000000036,8826.520000000002,283.69,284.52200000000005,284.688,284.91766666666666,,,,0.82000000000005,1.5200000000000955,3128.5599999999995,101.505,101.602,101.42399999999999,100.952,,,,0.3100000000000023,0.44000000000001194,7785.85,251.635,251.57200000000003,251.48899999999998,251.169,,,,0.15000000000000568,0.14000000000001478
